Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna","PinHeader_1x01_P2.54mm_Vertical",102.743000,-130.556000,0.000000,top
"C1","47nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",66.907500,-78.740000,0.000000,top
"C2","47nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.037500,-78.740000,0.000000,top
"C3","47nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",112.627500,-78.740000,0.000000,top
"C4","47nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.567500,-78.740000,0.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",31.028000,-74.428800,-90.000000,top
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",43.093000,-74.026300,-90.000000,top
"C7","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",90.763000,-94.738800,180.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.915000,-125.095000,180.000000,top
"C9","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",81.915000,-121.793000,180.000000,top
"D1","LED","LED_0603_marked",61.268000,-43.567800,0.000000,top
"D2","LED","LED_0603_marked",86.614000,-43.434000,0.000000,top
"D3","LED","LED_0603_marked",112.000000,-43.440800,0.000000,top
"D4","LED","LED_0603_marked",137.414000,-43.434000,0.000000,top
"D5","LED","LED_0603_marked",29.758000,-43.313800,0.000000,top
"D6","BAV99","SOT-23",50.800000,-64.770000,0.000000,top
"D7","BAV99","SOT-23",98.376500,-64.389000,0.000000,top
"D8","BAV99","SOT-23",126.062500,-64.770000,0.000000,top
"D9","BAV99","SOT-23",76.151500,-65.024000,0.000000,top
"FB1","FerriteBead_Small","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",34.838000,-55.596300,-90.000000,top
"J1","Conn_Coaxial","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",51.602000,-55.378800,0.000000,top
"J2","Conn_Coaxial","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",77.002000,-55.378800,0.000000,top
"J3","Conn_Coaxial","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",102.402000,-55.378800,0.000000,top
"J4","Conn_Coaxial","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",127.802000,-55.378800,0.000000,top
"J5","USB_B_Micro","USB_Micro-AB_Molex_47590-0001",37.680000,-43.869000,180.000000,top
"J6","Conn_01x07","PinSocket_1x07_P2.54mm_Horizontal",80.401000,-130.607800,90.000000,top
"JP1","Jumper_3_Open","PinHeader_1x03_P2.54mm_Vertical",39.918000,-65.538800,-90.000000,top
"N1","Hammond 1598BBK","Hammond_1598B",88.205000,-103.530800,-90.000000,top
"Q1","MMBT3904","SOT-23",58.652500,-71.755000,180.000000,top
"Q2","MMBT3904","SOT-23",82.682500,-71.755000,180.000000,top
"Q3","MMBT3904","SOT-23",66.675000,-71.755000,180.000000,top
"Q4","MMBT3904","SOT-23",90.635000,-71.755000,180.000000,top
"Q5","MMBT3904","SOT-23",104.775000,-71.755000,180.000000,top
"Q6","MMBT3904","SOT-23",112.697500,-71.755000,180.000000,top
"Q7","MMBT3904","SOT-23",132.877500,-71.755000,180.000000,top
"Q8","MMBT3904","SOT-23",140.467500,-71.755000,180.000000,top
"R1","10.0k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.652500,-78.740000,180.000000,top
"R2","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.745000,-67.945000,0.000000,top
"R3","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.652500,-67.945000,0.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.745000,-64.770000,0.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.907500,-75.565000,0.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",90.905000,-75.565000,0.000000,top
"R7","10.0k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.945000,-67.945000,0.000000,top
"R8","10.0k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.745000,-78.740000,180.000000,top
"R9","3.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.652500,-75.565000,180.000000,top
"R10","10.0k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",90.905000,-67.945000,0.000000,top
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.690000,-64.770000,180.000000,top
"R12","3.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.650000,-75.565000,180.000000,top
"R13","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.140000,-67.945000,0.000000,top
"R14","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.045000,-64.770000,0.000000,top
