"#","Reference","Qty","Value","Footprint","DNP","CatNo","Manufacturers P/N"
"1","AE1","1","Antenna","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","","DNP","-DNP-"
"2","C1, C2, C3, C4","4","47nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","1276-6815-1-ND","CL21B473KCCWPNC"
"3","C5, C6","2","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","1276-1275-1-ND","CL21B105KPFNNNE"
"4","C7, C9","2","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","478-3755-1-ND","08053C104KAT2A"
"5","C8","1","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","1276-1096-1-ND","CL21A106KOQNNNE"
"6","D1, D2, D3, D4","4","LED","my_LED:LED_0603_marked","","160-1478-1-ND","160-1478-1-ND"
"7","D5","1","LED","my_LED:LED_0603_marked","","160-1474-1-ND","LTST-S270EKT"
"8","D6, D7, D8, D9","4","BAV99","Package_TO_SOT_SMD:SOT-23","","1727-2914-1-ND","BAV99,215"
"9","FB1","1","FerriteBead_Small","Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder","","490-18083-1-ND","BLM31KN102BH1L"
"10","J1, J2, J3, J4","4","Conn_Coaxial","BNC:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","","2057-RF1-01K-D-00-50-BK-HDW-ND","RF1-01K-D-00-50-BK-HDW"
"11","J5","1","USB_B_Micro","Molex-USB:USB_Micro-AB_Molex_47590-0001","","WM17144CT-ND","0475900001"
"12","J6","1","Conn_01x07","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Horizontal","","SAM1225-07-ND","SSW-107-02-G-S-RA"
"13","JP1","1","Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","732-5316-ND","61300311121"
"14","N1","1","Hammond 1598BBK","Hammond_Box:Hammond_1598B","","HM163-ND","-DNP-"
"15","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8","8","MMBT3904","Package_TO_SOT_SMD:SOT-23","","MMBT3904TPMSCT-ND","MMBT3904-TP"
"16","R1, R7, R8, R10, R16, R17, R22, R23, R28","9","10.0k 1%","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RNCP0805FTD10K0CT-ND","RNCP0805FTD10K0"
"17","R2, R3, R13, R19, R26","5","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","311-100CRCT-ND","RC0805FR-07100RL"
"18","R4, R5, R6, R11, R14, R15, R20, R21","8","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RNCP0805FTD1K00CT-ND","RNCP0805FTD1K00"
"19","R9, R12, R18, R24","4","3.3k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","311-3.30KCRCT-ND","RC0805FR-073K3L"
"20","R25","1","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RNCP0805FTD1K00CT-ND","RNCP0805FTD1K00"
"21","R27","1","24.0k 1%","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RMCF0805FT24K0CT-ND","RMCF0805FT24K0"
"22","SW1, SW2, SW3, SW4","4","SW_Push","E-Switch-800:800SP9B6M6RE","","EG2615-ND","800SP9B6M6RE"
"23","U1","1","SN74HCS00","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","296-SN74HCS00DRCT-ND","SN74HCS00DR"
"24","U2","1","MIC5318","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","","576-4583-1-ND","MIC5318YD5-TR"
