#MacroFab, INC. XYRS data for D:/Dropbox/Eagle/Projects/U01/NN2022/IMU/NN22_IMU_Adapter00_s00.brd.
#Board Size is 2500.000000 x 1300.000000.
#
#Placement Data:
#Designator	X-Loc	Y-Loc	Rotation	Side	Type	X-Size	Y-Size	Value	Footprint	Populate	MPN
C1	1580.00	500.00	270	1	1	62.99	19.69	0.1u	0402-CAP	1	
C2	2090.00	1010.00	270	1	1	110.24	35.43	10u	0603-CAP	1	
C3	2120.00	1145.00	270	2	1	62.99	19.69	0.1u	0402-CAP	1	
C4	1900.00	1145.00	270	2	1	62.99	19.69	4.7u	0402-CAP	1	
C5	1905.00	645.00	0	2	1	62.99	19.69	4.7u	0402-CAP	1	
C6	1905.00	390.00	270	2	1	62.99	19.69	0.1u	0402-CAP	1	
C7	1470.00	1150.00	90	1	1	110.24	35.43	10u	0603-CAP	1	
C8	1405.00	1140.00	270	2	1	62.99	19.69	0.1u	0402-CAP	1	
C9	1275.00	1140.00	270	2	1	62.99	19.69	0.1u	0402-CAP	1	
C10	1210.00	1150.00	90	1	1	110.24	35.43	10u	0603-CAP	1	
C11	1720.00	1040.00	90	1	1	62.99	19.69	27p	0402-CAP	1	
C12	1900.00	960.00	90	1	1	62.99	19.69	27p	0402-CAP	1	
C13	1730.00	540.00	270	2	1	62.99	19.69	4.7u	0402-CAP	1	
C14	1685.00	410.00	90	2	1	62.99	19.69	4.7u	0402-CAP	1	
C15	1680.00	410.00	270	1	1	62.99	19.69	4.7u	0402-CAP	1	
C16	1765.00	755.00	90	2	1	62.99	19.69	0.1u	0402-CAP	1	
C17	1810.00	540.00	270	2	1	62.99	19.69	0.1u	0402-CAP	1	
C18	1770.00	540.00	270	2	1	62.99	19.69	0.1u	0402-CAP	1	
C19	1905.00	690.00	0	2	1	62.99	19.69	0.1u	0402-CAP	1	
C20	1805.00	755.00	90	2	1	62.99	19.69	0.1u	0402-CAP	1	
C21	1685.00	690.00	180	2	1	62.99	19.69	0.1u	0402-CAP	1	
C22	1945.00	530.00	90	2	1	62.99	19.69	0.1u	0402-CAP	1	
C23	1625.00	490.00	90	2	1	62.99	19.69	0.1u	0402-CAP	1	
D1	530.00	980.00	90	2	1	149.61	96.46	D1213A-02SO	SOT23-6	1	
D2	530.00	790.00	90	2	1	149.61	96.46	D1213A-02SO	SOT23-6	1	
D3	530.00	980.00	90	1	1	149.61	96.46	D1213A-02SO	SOT23-6	1	
D4	530.00	790.00	90	1	1	149.61	96.46	D1213A-02SO	SOT23-6	1	
D5	530.00	600.00	90	2	1	149.61	96.46	D1213A-02SO	SOT23-6	1	
D6	530.00	410.00	90	2	1	149.61	96.46	D1213A-02SO	SOT23-6	1	
D7	530.00	600.00	90	1	1	149.61	96.46	D1213A-02SO	SOT23-6	1	
D8	530.00	410.00	90	1	1	149.61	96.46	D1213A-02SO	SOT23-6	1	
D9	2100.00	1010.00	270	2	1	110.24	78.74	BAV70W	SOT323	1	
D10	1980.00	1010.00	270	2	1	110.24	78.74	BAV70W	SOT323	1	
FID1	80.00	1215.00	0	1	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID2	80.00	85.00	0	1	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID3	2090.00	1225.00	0	1	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID4	80.00	1220.00	0	2	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID5	80.00	80.00	0	2	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID6	2430.00	1220.00	0	2	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID7	1965.00	815.00	0	1	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID8	1635.00	485.00	0	1	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
