"Reference","Value","Qty","CatNo","MfgNo"
"C1","10uF","1","1276-1096-1-ND","CL21A106KOQNNNE"
"C2","22uF","1","1276-6526-1-ND","CL21A226KOQNNNE"
"D1,D2","LED","2","350-5973006607FCT-ND","5973006607F"
"J1,J2,J3,J4,J5,J6","4P4C","6","AE10381-ND","A-2004-3-4-LP-N-R"
"J7","3220-26-0200-00","1","1175-1640-ND","3220-26-0200-00"
"J8","Conn_01x04","1","SAM10242-ND","TMS-104-01-G-S"
"J9","Conn_01x05","1","609-3462-ND","68000-105HLF"
"J10","3221-26-0100-00","1","1175-1745-ND","3221-26-0100-00"
"N1","1551T","1","",""
"R1","1.5k","1","311-1.50KCRCT-ND","RC0805FR-071K5L"
"R2","510","1","311-510CRCT-ND","RC0805FR-07510RL"
"U1","AP2114H-3.3TRG1","1","AP2114H-3.3TRG1DICT-ND","AZ1117CH-3.3TRG1"
