Reference,Value,Qty,CatNo,MfgNo,BuyQty
C1,10uF,1,1276-1096-1-ND,CL21A106KOQNNNE,5
C2,22uF,1,1276-6526-1-ND,CL21A226KOQNNNE,5
"D1,D2",LED,2,350-5973006607FCT-ND,5973006607F,10
"J1,J2,J3,J4,J5,J6",4P4C,6,AE10381-ND,A-2004-3-4-LP-N-R,30
J7,3220-26-0200-00,1,1175-1640-ND,3220-26-0200-00,5
J8,Conn_01x04,1,SAM10242-ND,TMS-104-01-G-S,5
J9,Conn_01x05,1,609-3462-ND,68000-105HLF,5
J10,3221-26-0100-00,1,1175-1745-ND,3221-26-0100-00,5
N1,1551T,1,,,5
R1,1.5k,1,311-1.50KCRCT-ND,RC0805FR-071K5L,5
R2,510,1,311-510CRCT-ND,RC0805FR-07510RL,5
U1,AP2114H-3.3TRG1,1,AP2114H-3.3TRG1DICT-ND,AZ1117CH-3.3TRG1,5
