#XYRS data for NN22_7Lvl_ResSrcAdapter02_s00.brd.
#Board Size is 2500.000000 x 1300.000000.
#
#Placement Data:
#Designator	X-Loc	Y-Loc	Rotation	Side	Type	X-Size	Y-Size	Value	Footprint	Populate	MPN
C1	1690.00	1135.00	180	1	1	340.55	98.43	100u	2917-CAP	1	
C2	1960.00	880.00	270	1	1	169.29	70.87	22u	1206	1	
C3	2070.00	880.00	270	1	1	169.29	70.87	22u	1206	1	
C4	1840.00	790.00	180	1	1	62.99	19.69	0.1u	0402-CAP	1	
C5	1675.00	870.00	270	1	1	62.99	19.69	47p	0402-CAP	1	
C6	1600.00	970.00	180	1	1	169.29	70.87	22u	1206	1	
C7	1350.00	990.00	0	1	1	62.99	19.69	0.1u	0402-CAP	1	
C8	1320.00	475.00	270	1	1	62.99	19.69	0.1u	0402-CAP	1	
C9	1260.00	475.00	270	1	1	62.99	19.69	0.1u	0402-CAP	1	
C10	1240.00	190.00	270	1	1	169.29	70.87	22u	1206	1	
C11	1240.00	1110.00	90	1	1	169.29	70.87	22u	1206	1	
D1	170.00	950.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D2	335.00	850.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D3	170.00	790.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D4	330.00	710.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D5	170.00	650.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D6	330.00	550.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D7	170.00	490.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D8	330.00	400.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D9	335.00	905.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D10	170.00	850.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D11	330.00	765.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D12	170.00	710.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D13	330.00	605.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D14	170.00	550.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D15	325.00	300.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
D16	170.00	400.00	0	2	1	78.74	27.56	SBR1A20T5	SOD523	1	
F1	1985.00	1090.00	270	1	1	106.30	55.12	SMD0805B050TF	0805	1	
FID1	80.00	1215.00	0	1	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID2	80.00	1220.00	0	2	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID3	80.00	85.00	0	1	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID4	80.00	80.00	0	2	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID5	2090.00	1225.00	0	1	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
FID6	2430.00	1220.00	0	2	1	25.00	25.00	FIDUCIALUFIDUCIAL	MICRO-FIDUCIAL	1	
J1	2313.86	650.00	90	1	1	1194.88	299.21	M20X2_HARFLEX_M	M20X2_HARFLEX_M	1	
J2	250.00	650.00	0	1	1	270.00	630.00	M13X2_0.050_SHF	M13X2_0.050_SHF	1	
LF1	2085.00	1090.00	90	1	1	102.36	31.50	FERRITE0603	0603-FER	1	
Q1	1100.00	220.00	0	1	1	86.42	62.99	MOSFET-DUAL-P-UDFN8	UDFN8	1	
Q2	1100.00	510.00	0	1	1	86.42	62.99	MOSFET-DUAL-P-UDFN8	UDFN8	1	
Q3	1100.00	790.00	0	1	1	86.42	62.99	MOSFET-DUAL-P-UDFN8	UDFN8	1	
Q4	1100.00	1080.00	0	1	1	86.42	62.99	MOSFET-DUAL-P-UDFN8	UDFN8	1	
Q5	680.00	1080.00	0	1	1	86.42	62.99	MOSFET-DUAL-N-UDFN8	UDFN8	1	
Q6	680.00	1080.00	0	2	1	86.42	62.99	MOSFET-DUAL-N-UDFN8	UDFN8	1	
Q7	680.00	790.00	0	1	1	86.42	62.99	MOSFET-DUAL-N-UDFN8	UDFN8	1	
Q8	680.00	790.00	0	2	1	86.42	62.99	MOSFET-DUAL-N-UDFN8	UDFN8	1	
Q9	680.00	510.00	0	1	1	86.42	62.99	MOSFET-DUAL-N-UDFN8	UDFN8	1	
Q10	680.00	510.00	0	2	1	86.42	62.99	MOSFET-DUAL-N-UDFN8	UDFN8	1	
Q11	680.00	220.00	0	1	1	86.42	62.99	MOSFET-DUAL-N-UDFN8	UDFN8	1	
Q12	680.00	220.00	0	2	1	86.42	62.99	MOSFET-DUAL-N-UDFN8	UDFN8	1	
R1	1630.00	870.00	90	1	1	62.99	23.62	2.7k	0402-RES	1	
R2	1580.00	870.00	270	1	1	62.99	23.62	365	0402-RES	1	
R3	1645.00	665.00	270	1	1	62.99	23.62	100k	0402-RES	1	
R4	1600.00	665.00	270	1	1	62.99	23.62	100k	0402-RES	1	
R5	1555.00	665.00	270	1	1	62.99	23.62	100k	0402-RES	1	
R6	940.00	310.00	0	1	1	106.30	55.12	DNP	0805	1	
R7	940.00	220.00	0	1	1	106.30	55.12	270	0805	1	
R8	940.00	130.00	0	1	1	106.30	55.12	270	0805	1	
R9	940.00	600.00	0	1	1	106.30	55.12	1.2k	0805	1	
R10	940.00	510.00	0	1	1	106.30	55.12	39	0805	1	
R11	940.00	420.00	0	1	1	106.30	55.12	DNP	0805	1	
R12	940.00	880.00	0	1	1	106.30	55.12	560	0805	1	
R13	940.00	790.00	0	1	1	106.30	55.12	39	0805	1	
R14	940.00	700.00	0	1	1	106.30	55.12	39	0805	1	
R15	940.00	1170.00	0	1	1	106.30	55.12	270	0805	1	
R16	940.00	1080.00	0	1	1	106.30	55.12	15	0805	1	
R17	940.00	990.00	0	1	1	106.30	55.12	15	0805	1	
R18	760.00	110.00	0	1	1	62.99	23.62	100k	0402-RES	1	
R19	510.00	1130.00	180	1	1	106.30	55.12	5.1	0805	1	
R20	510.00	1130.00	0	2	1	106.30	55.12	5.1	0805	1	
R21	510.00	840.00	180	1	1	106.30	55.12	5.1	0805	1	
R22	510.00	840.00	0	2	1	106.30	55.12	5.1	0805	1	
R23	1460.00	890.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R24	510.00	560.00	180	1	1	106.30	55.12	5.1	0805	1	
R25	510.00	560.00	0	2	1	106.30	55.12	5.1	0805	1	
R26	510.00	270.00	180	1	1	106.30	55.12	5.1	0805	1	
R27	510.00	270.00	0	2	1	106.30	55.12	5.1	0805	1	
R28	510.00	1030.00	180	1	1	106.30	55.12	6.2	0805	1	
R29	510.00	1030.00	0	2	1	106.30	55.12	6.2	0805	1	
R30	510.00	740.00	180	1	1	106.30	55.12	6.2	0805	1	
R31	510.00	740.00	0	2	1	106.30	55.12	6.2	0805	1	
R32	1460.00	400.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R33	510.00	460.00	180	1	1	106.30	55.12	6.2	0805	1	
R34	510.00	460.00	0	2	1	106.30	55.12	6.2	0805	1	
R35	510.00	170.00	180	1	1	106.30	55.12	6.2	0805	1	
R36	510.00	170.00	0	2	1	106.30	55.12	6.2	0805	1	
TP1	1920.00	1200.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP2	1460.00	200.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP3	830.00	1195.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP4	410.00	1190.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP5	410.00	110.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP6	1960.00	200.00	0	1	2	43.31	43.31	TESTPOINT1X01	1X01	1	
U1	1800.00	880.00	0	1	1	133.86	98.43	ISL80103	DFN10_ISL	1	
U2	1350.00	650.00	180	1	1	287.40	195.67	74HC138_TSSOP	TSSOP16	1	
U3	1350.00	900.00	0	2	1	287.40	195.67	74HC238_TSSOP	TSSOP16	1	
U4	1350.00	410.00	0	2	1	287.40	195.67	74HC238_TSSOP	TSSOP16	1	
