Line,Qty.,Item,Vendor,Part No.,
1,4,"M3x0.5mm, 30mm Lg (Enclosure Corners)",McMaster Carr,92125A140,
2,4,"M3x0.5mm, 12mm Lg (PCB Corners)",McMaster Carr,91290A117,
3,4,M3 nylon washer (PCB Corners),McMaster Carr,95610A330,
4,8,M3x0.5mm Hex Nut,McMaster Carr,90591A250,
5,4,"M4x0.7mm, 15mm Lg (Battery Carriers)",McMaster Carr,91290A306,
6,4,M4x0.7mm Hex Nut,McMaster Carr,90591A255,
7,2,Dewalt 12V battery adapter,Amazon,B09N42RJKW,https://a.co/d/3aEim6k
8,1,WOJ-DBENC-001-RevAB (Dual Battery Enclosure Lid),,,
9,1,WOJ-DBENC-002-RevAB (Dual Battery Enclosure Base),,,
10,1,WOJ-DBPCB-SA-001-RevAB (Dual Battery PCB Subassembly),,,
