"#","Reference","Qty","Value","Footprint","DNP","CatNo","MfgNo"
"1","C1","1","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","1276-1096-1-ND","CL21A106KOQNNNE"
"2","C2","1","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","1276-6526-1-ND","CL21A226KOQNNNE"
"3","D1, D2","2","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","350-5973006607FCT-ND","5973006607F"
"4","J1, J2, J3, J4, J5, J6","6","4P4C","my_RJ:A-2004-3-4-LP","","AE10381-ND","A-2004-3-4-LP-N-R"
"5","J7","1","SHF-113-01-L-D-SM","models:SAMTEC_SHF-113-01-L-D-RA","","SAM10712-ND","SHF-113-01-L-D-SM"
"6","J8","1","Conn_01x04","Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical","","SAM10242-ND","TMS-104-01-G-S"
"7","J9","1","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","609-3462-ND","68000-105HLF"
"8","R1","1","1.5k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","311-1.50KCRCT-ND","RC0805FR-071K5L"
"9","R2","1","510","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","311-510CRCT-ND","RC0805FR-07510RL"
"10","U1","1","AZ1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","31-AZ1117CH2-3.3TRG1CT-ND","AZ1117CH2-3.3TRG1"
